title,link,img_link,description
Движение вверх (2017),https://yandex.ru/video/search?text=%D0%94%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5+%D0%B2%D0%B2%D0%B5%D1%80%D1%85+%282017%29,https://superspisok.ru/wp-content/uploads/2018/04/dvizhenie-vverkh-700x474.jpg,"В 1970 году наставником советской мужской сборной по баскетболу становится Владимир Гаранжин. У него иная методика подготовки, отличающая тренера от предшественников. Перед игроками герой ставит серьёзные задачи, например, обыграть непобедимых на тот момент американцев. Близятся Олимпийские игры, давление возрастает. На кону для Гаранжина стоит намного больше, чем просто игра."
Тренер Картер (2005),https://yandex.ru/video/search?text=%D0%A2%D1%80%D0%B5%D0%BD%D0%B5%D1%80+%D0%9A%D0%B0%D1%80%D1%82%D0%B5%D1%80+%282005%29,https://superspisok.ru/wp-content/uploads/2018/04/trener-karter-700x465.jpg,"Кен Картер руководит успешной школьной баскетбольной командой. Его подопечные радуют публику и не дают соперникам шанса на площадке. Когда казалось, что никаких потрясений быть не может, тренер удивил всех. Он отказал в доступе к играм тем юным спортсменам, кто плохо учился. Возвращение на паркет нужно было заслужить высокими оценками. Это решение вызвало раскол в общественном мнении."
Игра по чужим правилам (2006),https://yandex.ru/video/search?text=%D0%98%D0%B3%D1%80%D0%B0+%D0%BF%D0%BE+%D1%87%D1%83%D0%B6%D0%B8%D0%BC+%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0%D0%BC+%282006%29,https://superspisok.ru/wp-content/uploads/2018/04/igra-po-chuzhim-pravilam-700x467.jpg,"Дон Хаскинс, получив пост главного тренера техасской молодёжной команды, начал прививать подопечным иные стандарты. Он прежде всего смотрел на одарённость парней, а не на их цвет кожи. Афроамериканцы уже появлялись на площадках во многих городах, но они всё ещё были экзотикой. Дон первым решает укомплектовать весь стартовый состав чернокожими игроками, не боясь критики и отстаивая своё видение игры."
Любовь и баскетбол (2000),https://yandex.ru/video/search?text=%D0%9B%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C+%D0%B8+%D0%B1%D0%B0%D1%81%D0%BA%D0%B5%D1%82%D0%B1%D0%BE%D0%BB+%282000%29,https://superspisok.ru/wp-content/uploads/2018/04/lyubov-i-basketbol-700x466.jpg,"Ещё в детстве Квинси оказался поражён умением Моники играть в баскетбол. Эта озорная девчонка делала больше точных бросков, чем большинство парней. Общая страсть к игре сблизила героев. Сначала они стали друзьями, а потом полюбили друг друга. Желание Квинси стать профи и посвятить себя баскетболу разлучило пару. Через некоторое время у них появляется второй шанс обрести совместное счастье."
Белые люди не умеют прыгать (1992),https://yandex.ru/video/search?text=%D0%91%D0%B5%D0%BB%D1%8B%D0%B5+%D0%BB%D1%8E%D0%B4%D0%B8+%D0%BD%D0%B5+%D1%83%D0%BC%D0%B5%D1%8E%D1%82+%D0%BF%D1%80%D1%8B%D0%B3%D0%B0%D1%82%D1%8C+%281992%29,https://superspisok.ru/wp-content/uploads/2018/04/belye-lyudi-ne-umeyut-prygat-700x463.jpg,"Билли – белый парень, умеющий играть в баскетбол. Согласно распространённым стереотипам, он не выглядит типичным спортсменом. Это герою на руку. Он ходит по городу и устраивает пари на баскетбольных площадках, почти всегда побеждая оппонентов. Билли копит деньги, чтобы отдать долг местным бандитам. Его встреча и последующее сотрудничество с Сидни Дином меняет условия игры."
Дневник баскетболиста (1995),https://yandex.ru/video/search?text=%D0%94%D0%BD%D0%B5%D0%B2%D0%BD%D0%B8%D0%BA+%D0%B1%D0%B0%D1%81%D0%BA%D0%B5%D1%82%D0%B1%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%B0+%281995%29,https://superspisok.ru/wp-content/uploads/2018/04/dnevnik-basketbolista-1-700x467.jpg,"Для юного красавчика Джима Кэрролла есть две важные вещи – баскетбол и стихи. Второе увлечение – скорее для души, а вот первое занимает его целиком и полностью. Но от соблазнов Джим удержаться не может. Он связывается с не самой хорошей компанией, пробует наркотики и дальше идёт по наклонной. Попадание за решётку, как ни странно, уберегает Кэрролла от печальной участи, постигшей некоторых его друзей."
На колесах (2006),https://yandex.ru/video/search?text=%D0%9D%D0%B0+%D0%BA%D0%BE%D0%BB%D0%B5%D1%81%D0%B0%D1%85+%282006%29,https://superspisok.ru/wp-content/uploads/2018/04/na-kolesakh-700x466.jpg,"Перед Фредом Крюпперсом стоит непростая задача – понравиться сыну возлюбленной. Сделать это можно, подарив парню мяч с автографами игроков его любимой баскетбольной команды. Как становится известно герою, такой раритет могут вручить инвалиду-болельщику. На время Фред притворяется человеком с ограниченными возможностями. Он почти получил желаемое, но привлёк слишком много внимания."
Над кольцом (1994),https://yandex.ru/video/search?text=%D0%9D%D0%B0%D0%B4+%D0%BA%D0%BE%D0%BB%D1%8C%D1%86%D0%BE%D0%BC+%281994%29,https://superspisok.ru/wp-content/uploads/2018/04/nad-koltsom-700x467.jpg,"Том винит себя в смерти друга. Эта трагедия заставляет его завязать с баскетболом. Теперь герой работает охранником в школе. Здесь есть хорошая команда, и главная звезда – Кайл Ли Уотсон. Парень ждёт предложение от университета, но скаута напрягают вспыльчивость и излишняя самоуверенность Кайла. Разочарованный, он готов вступить на неверный путь. Том и окружающие хотят этому помешать."
Космический джэм (1996),https://yandex.ru/video/search?text=%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D0%B4%D0%B6%D1%8D%D0%BC+%281996%29,https://superspisok.ru/wp-content/uploads/2018/04/kosmicheskiy-dzhem-700x460.jpg,"Джордан завершил карьеру. Теперь он пробует себя в бейсболе, в котором откровенно плох. Помощь Майкла внезапно понадобилась мультяшкам. Они заключили пари с напавшими на них инопланетянами: если в баскетбольном матче победят незваные гости, то Багс и компания станут экспонатами в их парке развлечений. В довершении всего, пришельцы похищают умение топ-спортсменов играть в баскетбол."
Его игра (1998),https://yandex.ru/video/search?text=%D0%95%D0%B3%D0%BE+%D0%B8%D0%B3%D1%80%D0%B0+%281998%29,https://superspisok.ru/wp-content/uploads/2018/04/ego-igra-700x474.jpg,"Джейк случайно убил жену, за что получил тюремный срок. Его сын Иисус, несмотря на тяжёлое детство, смог стать звёздным игроком в школьной баскетбольной команде. Когда до выпуска остаётся совсем немного времени, университеты начинают борьбу за парня. Джейка тоже привлекают к данной ситуации, хотя сын и не горит желанием с ним общаться. Если герой склонит Иисуса к нужному варианту, то выйдет на свободу."
Сезон ураганов (2009),https://yandex.ru/video/search?text=%D0%A1%D0%B5%D0%B7%D0%BE%D0%BD+%D1%83%D1%80%D0%B0%D0%B3%D0%B0%D0%BD%D0%BE%D0%B2+%282009%29,https://superspisok.ru/wp-content/uploads/2018/04/sezon-uraganov-700x467.jpg,"Ураган Катрина прямо или косвенно повлиял на многих людей. Вот и юные спортсмены из разных школ были вынуждены покинуть прежние учебные заведения, чтобы перевестись в Марреро. Здесь их в одну команду собирает тренер Эл Коллинз. Он верит в силу духа начинающих баскетболистов. Осталось только сплотить парней и заставить серьёзно отнестись к собственным перспективам и талантам."
Азартная игра (1994),https://yandex.ru/video/search?text=%D0%90%D0%B7%D0%B0%D1%80%D1%82%D0%BD%D0%B0%D1%8F+%D0%B8%D0%B3%D1%80%D0%B0+%281994%29,https://superspisok.ru/wp-content/uploads/2018/04/azartnaya-igra-700x463.jpg,"Для Пита Бэлла очень важно придерживаться определённых принципов при формировании команды. Тренер хочет видеть на площадке только тех, кто хорошо учится и ведёт себя достойно за пределами паркета. К сожалению, юные баскетболисты с такими качествами не всегда могут столь же эффектно проводить матчи. Перед Бэллом возникает дилемма: уступить себе или продолжить идти по выбранному пути?"
Просто Райт (2010),https://yandex.ru/video/search?text=%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE+%D0%A0%D0%B0%D0%B9%D1%82+%282010%29,https://superspisok.ru/wp-content/uploads/2018/04/prosto-rayt-700x466.jpg,"Лесли обожает баскетбол. Она знакомится со знаменитым игроком Скоттом МакНайтом, который ей явно симпатичен. Однако парень больше внимания уделяет сестре героини, Морган. У парочки начинается роман, и дело доходит до помолвки. Только вот стоит Скотту получить травму, невеста сразу даёт заднюю. Зато Лесли всегда рядом в качестве друга и физиотерапевта. Сможет ли МакНайт оценить это?"
Команда из штата Индиана (1986),https://yandex.ru/video/search?text=%D0%9A%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B0+%D0%B8%D0%B7+%D1%88%D1%82%D0%B0%D1%82%D0%B0+%D0%98%D0%BD%D0%B4%D0%B8%D0%B0%D0%BD%D0%B0+%281986%29,https://superspisok.ru/wp-content/uploads/2018/04/komanda-iz-shtata-indiana-700x467.jpg,"Перебравшись в Хикори, Норман Дейл становится тренером местной школьной команды по баскетболу. Он меняет многие порядки, к чему не готовы ни игроки, ни болельщики, ни руководство. Герой не унижается перед главной звездой и приглашает в помощники отца одного из игроков, хотя у того есть проблемы с алкоголем. Дейла хотя снять с должности, но в последний момент меняют решение."
Шестой игрок (1997),https://yandex.ru/video/search?text=%D0%A8%D0%B5%D1%81%D1%82%D0%BE%D0%B9+%D0%B8%D0%B3%D1%80%D0%BE%D0%BA+%281997%29,https://superspisok.ru/wp-content/uploads/2018/04/shestoy-igrok-700x467.jpg,"Антуан и Кенни – братья, неразлучные с детства. Они вместе начинали играть в баскетбол и продолжали это делать в Вашингтонском университете. Во время очередного матча Антуан теряет сознание и позже умирает от сердечного приступа. С тех пор результаты Кенни в игре значительно ухудшились. Тогда Антуану ничего не остаётся: он возвращается в виде призрака, чтобы помочь брату пережить утрату и стать чемпионом."
Король воздуха (1997),https://yandex.ru/video/search?text=%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C+%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%B0+%281997%29,https://superspisok.ru/wp-content/uploads/2018/04/korol-vozdukha-700x475.jpg,"Клоун Норм преуспевал только за счёт умного пса. Однако свои провалы он списывал именно на ретривера, поэтому захотел от него избавиться. Мальчик по имени Джош находит собаку и забирает себе. Парень замечает способности питомца, получившего кличку Бадди, по части баскетбола. Они вместе становятся членами школьной команды. Тогда-то и появляется Норм, желающий подзаработать."
Папе снова 17 (2009),https://yandex.ru/video/search?text=%D0%9F%D0%B0%D0%BF%D0%B5+%D1%81%D0%BD%D0%BE%D0%B2%D0%B0+17+%282009%29,https://superspisok.ru/wp-content/uploads/2018/04/pape-snova-17-700x467.jpg,"Майк к тридцати семи почти ничего не добился. На работе нет продвижения, жена хочет развестись, дети не желают общаться. Внезапно судьба и странный инцидент дают герою второй шанс: он вновь становится юным. Майк убеждает давнего приятеля, что происходящее правда и просит помочь. Он становится вновь старшеклассником и намерен наладить контакт с сыном и дочерью, которые тоже учатся в этой школе."
Как Майк (2002),https://yandex.ru/video/search?text=%D0%9A%D0%B0%D0%BA+%D0%9C%D0%B0%D0%B9%D0%BA+%282002%29,https://superspisok.ru/wp-content/uploads/2018/04/kak-mayk-700x465.jpg,"Сирота Келвин живёт в приюте и мечтает о карьере баскетболиста. Только вот он слишком мал ростом для этого вида спорта. Возможность проявить себя юному герою даёт необычная пара кроссовок. Келвин уверен, что обувь раньше принадлежала Джордану, поэтому верит в её необычности. И на самом деле, волшебство случается: стоит Келвину надеть кроссовки, как он получает способность совершать невероятные прыжки."
Майти Макс (2009),https://yandex.ru/video/search?text=%D0%9C%D0%B0%D0%B9%D1%82%D0%B8+%D0%9C%D0%B0%D0%BA%D1%81+%282009%29,https://superspisok.ru/wp-content/uploads/2018/04/mayti-maks-700x467.jpg,"После переезда в Пенсильванию вместе с мужем Кэти Раш становится тренером в баскетбольной женской команде католического колледжа. У спортсменок нет формы, есть проблемы с местом для тренировок, а учебное заведение находится на волоске от закрытия. Также здесь довольно много ограничений, связанных с консервативными взглядами окружения. Несмотря на всё это, Кэти ведёт подопечных к победе."
Непобедимый дикарь (1994),https://yandex.ru/video/search?text=%D0%9D%D0%B5%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D0%B8%D0%BC%D1%8B%D0%B9+%D0%B4%D0%B8%D0%BA%D0%B0%D1%80%D1%8C+%281994%29,https://superspisok.ru/wp-content/uploads/2018/04/nepobedimyy-dikar-700x461.jpg,"Джимми Долан столкнулся с рядом проблем. Поражения стали нормой в его тренерской карьере. Выход он находит весьма необычный: едет в Африку в поисках топ-игрока. Таковым является Салех – сын вождя одного из племён. Он прекрасно играет в баскетбол и сможет стать звездой в Америке. Только вот отец предсказуемо не хочет отпускать отпрыска на другой конец света. У Джимми есть план, как достичь своего."
Сезон побед (2009),https://yandex.ru/video/search?text=%D0%A1%D0%B5%D0%B7%D0%BE%D0%BD+%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4+%282009%29,https://superspisok.ru/wp-content/uploads/2018/04/sezon-pobed-700x469.jpg,"Когда-то Билл был перспективным спортсменом. Теперь же он – работник закусочной, разведённый человек, любящий выпить. Неожиданно герою предлагают возглавить женскую школьную команду, так как других претендентов на пост нет. Билл соглашается. Подопечные мало похожи на спортсменок, у них нет ни мотивации, ни единства. Это надо исправить в кратчайшие сроки, так как сезон уже начинается."
Отскок (2005),https://yandex.ru/video/search?text=%D0%9E%D1%82%D1%81%D0%BA%D0%BE%D0%BA+%282005%29,https://superspisok.ru/wp-content/uploads/2018/04/otskok-700x463.jpg,"Успешная карьера Роя МакКормика прерывается из-за одного инцидента. Любимый всеми и дающий результат тренер баскетбольной команды удалён судьёй. Он пинает мяч и случайно попадает в птицу-талисман, которая падает замертво. Рой лишается работы и многих привилегий. Ему ничего не остаётся, кроме как пойти работать тренером в школу. Из команды отпетых неумех и лузеров он должен вылепить чемпионов."
Бейскетбол (1998),https://yandex.ru/video/search?text=%D0%91%D0%B5%D0%B9%D1%81%D0%BA%D0%B5%D1%82%D0%B1%D0%BE%D0%BB+%281998%29,https://superspisok.ru/wp-content/uploads/2018/04/beysketbol-700x466.jpg,"Спорт в Америке – настоящий культ. Но некоторым мало существующих игр. Так два приятеля у себя дома придумывают новый вид спорта – симбиоз бейсбола и баскетбола. Проходит пара лет, и уже вся страна покорена этой идеей. Соревнования проводятся на стадионах при большом скоплении зрителей. На кону вполне реальный кубок и чемпионское звание, так что вчерашние неудачники могут стать легендами."
Баскетбольная лихорадка (1996),https://yandex.ru/video/search?text=%D0%91%D0%B0%D1%81%D0%BA%D0%B5%D1%82%D0%B1%D0%BE%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BB%D0%B8%D1%85%D0%BE%D1%80%D0%B0%D0%B4%D0%BA%D0%B0+%281996%29,https://superspisok.ru/wp-content/uploads/2018/04/basketbolnaya-likhoradka-700x474.jpg,"Майк и Джимми настолько любят баскетбол, что постоянно попадают в нелепые ситуации из-за своего увлечения. Они – преданные фанаты «Бостон Селтик» и мечтают увидеть победу клуба над «Юта Джаз». Этому может помешать присутствие на площадке высокомерного и выдающегося игрока соперников Льюиса Скотта. Внезапно у героев появляется решение: они похищают баскетболиста, напоив его до беспамятства."
Дом гигантов (2007),https://yandex.ru/video/search?text=%D0%94%D0%BE%D0%BC+%D0%B3%D0%B8%D0%B3%D0%B0%D0%BD%D1%82%D0%BE%D0%B2+%282007%29,https://superspisok.ru/wp-content/uploads/2018/04/dom-gigantov-700x455.jpg,"Город живёт успехами баскетбольной школьной команды. Недавно приехавшая сюда, Бриджет не понимает, почему здесь все так увлечены игрой. Она заводит дружбу с Робертом – другом главной звезды «Гигантов» Мэтта. Брат последнего выходит из тюрьмы и подбивает приятелей совершить преступление. Ситуация быстро выходит из-под контроля, и теперь вернуться в прежнее русло будет проблематично."
