title,link,img_link,description
"Дэмиан Лиллард: «Про «Портленд» нельзя сказать, что это чемпионская команда, которой просто нужен новый тренер»",https://allbasketball.org/252361-djemian-lillard-pro-portlend-nelzja-skazat-chto-jeto-chempionskaja-komanda-kotoroj-prosto-nuzhen-novyj-trener.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626499663_1321753006_0.jpg,"Многолетний лидер «Портленда» Дэмиан Лиллард заявил, что сообщения о его намерении попросить у клуба обмен не соответствуют действительности."
Эксперт НБА Джей Уильямс заразился коронавирусом,https://allbasketball.org/252362-jekspert-nba-dzhej-uiljams-zarazilsja-koronavirusom.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626499731_230fd5af9a5334bc5dfa77443d6931eb_xl.jpg,"Бывший игрок НБА, ныне телевизионный эксперт Джей Уильямс не будет работать оставшуюся часть финальной серии плей-офф из-за коронавируса."
Уэс Ансельд-младший станет главным тренером «Вашингтона»,https://allbasketball.org/252363-ujes-anseld-mladshij-stanet-glavnym-trenerom-vashingtona.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626499738_wes-unseld.jpg,"Уэс Ансельд-младший станет новым главным тренером «Вашингтона». Стороны находятся на завершающей стадии подписания соглашения, сообщает инсайдер The Athletic Шэмс Чарания."
"Кевин Дюрэнт: «У меня никогда не было проблем с болельщиками «Уорриорз», я не завидовал Стефу Карри»",https://allbasketball.org/252364-kevin-djurjent-u-menja-nikogda-ne-bylo-problem-s-bolelschikami-uorriorz-ja-ne-zavidoval-stefu-karri.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626499760_16190204987865.jpg,Звездный форвард «Нетс» Кевин Дюрэнт пообщался в Clubhouse с болельщиками НБА и своей бывшей команды «Голден Стэйт».
"Нуркич подколол журналиста, который написал о намерении Лилларда запросить обмен",https://allbasketball.org/252365-nurkich-podkolol-zhurnalista-kotoryj-napisal-o-namerenii-lillarda-zaprosit-obmen.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626499769_mq27xn6jmzdgnhdomllji3k4da.jpg,"Инсайдер Генри Эбботт в пятницу со ссылкой на источник сообщил о том, что разыгрывающий «Портленда» Дэмиан Лиллард собирается запросить у клуба обмен."
«Рокетс» склоняются к выбору Джейлена Грина под 2-м пиком,https://allbasketball.org/252366-rokets-sklonjajutsja-k-vyboru-dzhejlena-grina-pod-2-m-pikom.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626500011_1302910259.jpg,"«Хьюстон» в случае сохранения 2-го пика на драфте-2021 выберет защитника Джейлена Грина, а не центрового Эвана Мобли."
"Крис Пол: «Поддерживаю связь с Леброном, Мело и Уэйдом по ходу финала»",https://allbasketball.org/252384-kris-pol-podderzhivaju-svjaz-s-lebronom-melo-i-ujejdom-po-hodu-finala.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626501520_espys-lebron-james-speech.jpg,"Разыгрывающий «Санз» Крис Пол рассказал о том, что получает поддержку от своих друзей Леброна Джеймса, Кармело Энтони и Дуэйна Уэйда по ходу финальной серии против «Милуоки» (2-2)."
"Мэтт Салливан: «Бруклин» оплачивает аренду жилья девушкам Кайри и Дюрэнта, вкладывается в их друзей»",https://allbasketball.org/252385-mjett-sallivan-bruklin-oplachivaet-arendu-zhilja-devushkam-kajri-i-djurjenta-vkladyvaetsja-v-ih-druzej.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626504566_usp-nba_-all-star-practice-e1561573454120.jpg,"Актер, сценарист, автор книги о «Нетс» Мэтт Салливан рассказал о том, что клуб тратит крупные суммы денег, проявляя заботу о звездных Кайри Ирвинге и Кевине Дюрэнте."
Стивен Эй Смит: «Порзингис завидует Дончичу. «Далласу» следует расстаться с ним»,https://allbasketball.org/252386-stiven-jej-smit-porzingis-zaviduet-donchichu-dallasu-sleduet-rasstatsja-s-nim.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626504600_enyvlzwu4aasalk.jpg,"Телеведущий ESPN Стивен Эй Смит считает, что «Далласу» следует обменять «большого» Кристапса Порзингиса."
"Яннис Адетокумбо – о блок-шоте: «Когда вспоминаешь прошлое, говорит твое эго. Надо двигаться дальше»",https://allbasketball.org/252388-jannis-adetokumbo-o-blok-shote-kogda-vspominaesh-proshloe-govorit-tvoe-jego-nado-dvigatsja-dalshe.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626513899_why-giannis-will-leave-bucks.jpg,"Форвард «Бакс» Яннис Адетокумбо во время пресс-конференции заявил, что старается забыть о своем фантастическом блок-шоте в четвертом матче финальной серии с «Санз» (2-2) и думать о предстоящих играх."
Кендрик Перкинс: «Трэй Янг должен быть в сборной США»,https://allbasketball.org/252389-kendrik-perkins-trjej-jang-dolzhen-byt-v-sbornoj-ssha.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626513863_trae-young.jpg,"Чемпион НБА, эксперт ESPN Кендрик Перкинс считает, что разыгрывающий «Атланты» Трэй Янг заслужил вызов в олимпийскую сборную США."
"Скип Бэйлесс: «Лиллард вряд ли потребует обмен. Ему нравится, когда его все любят»",https://allbasketball.org/252390-skip-bjejless-lillard-vrjad-li-potrebuet-obmen-emu-nravitsja-kogda-ego-vse-ljubjat.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626513887_1233258854_0.jpg,"Телеведущий Скип Бэйлесс сомневается в том, что разыгрывающий «Портленда» Дэмиан Лиллард захочет стать объектом ненависти со стороны болельщиков и публично потребует обменять его в другой клуб."
«Дайте мяч Луке». «Мэверикс» выложили забавную фотографию Джейсона Кидда с планшетом,https://allbasketball.org/252391-dajte-mjach-luke-mjeveriks-vylozhili-zabavnuju-fotografiju-dzhejsona-kidda-s-planshetom.html,https://allbasketball.org/uploads/posts/2021-07/thumbs/1626514012_e6fevkvxsaigpj0.jpg,«Даллас» представил нового главного тренера Джейсона Кидда.
